[0.7587608950084597, 0.7385880059715619, 0.7096615950646099];[2, 3, 5]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099];[2, 3, 5]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099];[2, 3, 5]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099];[2, 3, 5, 16, 19]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631];[2, 3, 5, 16, 19, 23]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631];[2, 3, 5, 16, 19, 23]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631];[2, 3, 5, 16, 19, 23]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631];[2, 3, 5, 16, 19, 23]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631];[2, 3, 5, 16, 19, 23]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631, 0.6660531406574306];[2, 3, 5, 16, 19, 23, 47]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631, 0.6660531406574306, 0.6645212743301712];[2, 3, 5, 16, 19, 23, 47, 54]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631, 0.6660531406574306, 0.6645212743301712];[2, 3, 5, 16, 19, 23, 47, 54]
[0.7587608950084597, 0.7385880059715619, 0.7096615950646099, 0.7081496231052369, 0.7059811370056099, 0.683719339340631, 0.6660531406574306, 0.6645212743301712, 0.6641631757082144, 0.6640040207651224];[2, 3, 5, 16, 19, 23, 47, 54, 61, 64]
